External ID,Created by,Order By,Purchase Order Date,Particulars,Vendor,Vendor,Type of Expense,Nature of Document,Place of Supply,Subsidiary,Terms,Approval status,Branch,Line of business,Division,Department,Currency,Ship to,Item,Rate,Quantity,Amount,Project,HSN or SAC code,India Tax Nature,Nexus,Nexus Override ,Vendor Tax Reg number,Subsidiary tax reg number,Vendor Select
A/2025/PO/000093,,,13-01-2025,Ultimate Source-Mum,UltimateSource,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000094,,,13-01-2025,Vinit Video Vision-Mum,VinitVideoVision,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000095,,,13-01-2025,The Chocolate Spoon Company Pvt Ltd-Mum,TheChocolateSpoonCompanyPvtLtd,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000096,,,13-01-2025,B K T Interior And Exhibition-Mum,BKTInteriorAndExhibition,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000103,,,13-01-2025,Nitin Kamble Advance A/C-CR,NitinKambleAdvanceA/C,Tax agency,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000101,,,13-01-2025,Sachin Jadhav Advance-CR,SachinJadhavAdvance,,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000100,,,13-01-2025,Suresh Pardhle Advance A/c-CR,SureshPardhleAdvanceA/c,,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000099,,,13-01-2025,Nitin Kamble Advance A/C-CR,NitinKambleAdvanceA/C,Tax agency,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000098,,,13-01-2025,Suresh Pardhle Advance A/c-CR,SureshPardhleAdvanceA/c,,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000097,,,13-01-2025,Greenix Experience Pvt Ltd-Mum,GreenixExperiencePvtLtd,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000102,,,13-01-2025,Namala David-Mum,NamalaDavid,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000104,,,13-01-2025,Musafir.Com India Pvt Ltd-Mum,Musafir.ComIndiaPvtLtd,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000106,,,13-01-2025,Events Power-Mum,EventsPower,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000108,,,13-01-2025,Phonographic Performance Limited-Mum,PhonographicPerformanceLimited,12256  Phonographic Performance Ltd,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000109,,,13-01-2025,Novex Communications Pvt. Ltd.-Mum,NovexCommunicationsPvt.Ltd.,Tax agency,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000110,,,13-01-2025,Grrowwide Business Advisors Pvt Ltd-Mum,GrrowwideBusinessAdvisorsPvtLtd,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000107,,,14-01-2025,Junobo Hotels Pvt Ltd-Mum,JunoboHotelsPvtLtd,#N/A,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
C/2025/PO/000016,,,15-01-2025,Eco Prints-Che,EcoPrints,#N/A,,,,,,,Chennai,,,,,,,,,,,,,,,,,
C/2025/PO/000017,,,15-01-2025,Neet (M) Fabricators-Che,Neet(M)Fabricators,#N/A,,,,,,,Chennai,,,,,,,,,,,,,,,,,
C/2025/PO/000018,,,15-01-2025,Eco Prints-Che,EcoPrints,#N/A,,,,,,,Chennai,,,,,,,,,,,,,,,,,
C/2025/PO/000019,,,15-01-2025,Gala Event Solutions-Che,GalaEventSolutions,#N/A,,,,,,,Chennai,,,,,,,,,,,,,,,,,
C/2025/PO/000020,,,15-01-2025,Clinton J Advance for Expense-CR,ClintonJAdvanceforExpense,,,,,,,,Chennai,,,,,,,,,,,,,,,,,
A/2025/PO/000134,,,15-01-2025,Sachin Jadhav Advance-CR,SachinJadhavAdvance,,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
A/2025/PO/000133,,,15-01-2025,Mahendra Mane Advance-CR,MahendraManeAdvance,Tax agency,,,,,,,Mumbai,,,,,,,,,,,,,,,,,
